2016-10-25 3:32:41 412553950 114.525783 30.679288 114.525783 30.679288 0.0 296.0 
2016-10-25 3:33:27 412553950 114.525818 30.679243 114.525783 30.679288 0.0 167.7 
2016-10-25 3:42:30 412553950 114.525767 30.679242 114.52572 30.679253 0.0  
2016-10-25 3:45:36 412553950 114.525783 30.679202 114.525767 30.679242 0.0  
2016-10-25 3:48:33 412553950 114.525737 30.679255 114.525783 30.679202 0.1 296.0 
2016-10-25 3:50:34 412553950 114.525737 30.679255 114.525737 30.679255 0.1 296.0 
2016-10-25 3:51:42 412553950 114.525778 30.679172 114.525737 30.679255 0.0 122.2 
2016-10-25 3:56:11 412553950 114.525778 30.679172 114.525778 30.679172 0.0 122.2 
2016-10-25 4:00:28 412553950 114.525813 30.679213 114.525778 30.679172 0.0 24.2 
2016-10-25 4:02:26 412553950 114.525813 30.679213 114.525813 30.679213 0.0 24.2 
2016-10-25 4:03:34 412553950 114.525797 30.679178 114.525813 30.679213 0.1 208.6 
2016-10-25 4:06:17 412553950 114.52578 30.679202 114.525797 30.679178 0.0 54.0 
2016-10-25 4:09:11 412553950 114.525772 30.679205 114.52578 30.679202 0.1 345.8 
2016-10-25 4:12:22 412553950 114.525785 30.679178 114.525772 30.679205 0.1 189.4 
2016-10-25 4:14:33 412553950 114.525785 30.679178 114.525785 30.679178 0.1 189.4 
2016-10-25 4:15:24 412553950 114.52576 30.67912 114.525785 30.679178 0.0 127.5 
2016-10-25 4:18:36 412553950 114.525817 30.679197 114.52576 30.67912 0.1 299.6 
2016-10-25 4:20:30 412553950 114.525817 30.679197 114.525817 30.679197 0.1 299.6 
2016-10-25 4:21:16 412553950 114.525793 30.67916 114.525817 30.679197 0.0 284.5 
2016-10-25 4:24:14 412553950 114.52586 30.679258 114.525793 30.67916 0.0 58.1 
2016-10-25 4:32:46 412553950 114.525785 30.679197 114.525785 30.679197 0.1 227.8 
2016-10-25 4:33:36 412553950 114.525788 30.679193 114.525785 30.679197 0.1 49.9 
2016-10-25 4:36:34 412553950 114.5258 30.679288 114.525788 30.679193 0.3 355.2 
2016-10-25 4:38:30 412553950 114.5258 30.679288 114.5258 30.679288 0.3 355.2 
2016-10-25 4:51:21 412553950 114.525853 30.679227 114.525767 30.679145 0.0 23.2 
2016-10-25 4:54:25 412553950 114.525807 30.679168 114.525853 30.679227 0.0 192.3 
2016-10-25 4:56:40 412553950 114.525807 30.679168 114.525807 30.679168 0.0 192.3 
2016-10-25 4:57:37 412553950 114.525765 30.679192 114.525807 30.679168 0.0 173.4 
2016-10-25 5:00:12 412553950 114.52583 30.679208 114.525765 30.679192 0.0 342.9 
2016-10-25 5:02:39 412553950 114.52583 30.679208 114.52583 30.679208 0.0 342.9 
2016-10-25 5:03:28 412553950 114.525772 30.679103 114.52583 30.679208 0.0 203.9 
2016-10-25 5:06:18 412553950 114.525788 30.679238 114.525772 30.679103 0.0 39.5 
2016-10-25 5:09:13 412553950 114.525792 30.679208 114.525788 30.679238 0.0 281.5 
