2016-10-21 21:00:57 413829178 114.339317 30.621933 114.33815 30.620983 16.6 47.5 47.0
2016-10-21 21:01:15 413829178 114.340117 30.622567 114.339317 30.621933 16.7 47.4 46.0
2016-10-21 21:01:40 413829178 114.341567 30.623733 114.340117 30.622567 16.8 47.8 47.0
2016-10-21 21:01:56 413829178 114.3428 30.62465 114.341567 30.623733 16.8 50.5 48.0
2016-10-21 21:02:16 413829178 114.34445 30.625867 114.3428 30.62465 17.0 46.8 47.0
2016-10-21 21:02:36 413829178 114.345733 30.626883 114.34445 30.625867 17.0 48.3 47.0
2016-10-21 21:02:59 413829178 114.3474 30.6281 114.345733 30.626883 17.0 50.4 49.0
2016-10-21 21:03:16 413829178 114.3487 30.629 114.3474 30.6281 17.1 51.1 49.0
2016-10-21 21:03:31 413829178 114.349533 30.629617 114.3487 30.629 17.1 49.6 48.0
2016-10-21 21:04:10 413829178 114.352517 30.631767 114.349533 30.629617 17.2 49.4 47.0
2016-10-21 21:04:30 413829178 114.35335 30.632383 114.352517 30.631767 17.1 49.1 47.0
2016-10-21 21:04:46 413829178 114.35505 30.633617 114.35335 30.632383 17.3 49.5 47.0
2016-10-21 21:05:05 413829178 114.356383 30.634632 114.35505 30.633617 17.3 47.4 45.0
2016-10-21 21:05:23 413829178 114.3575 30.635467 114.356383 30.634632 17.1 50.1 48.0
2016-10-21 21:05:40 413829178 114.357917 30.635767 114.3575 30.635467 17.1 48.9 47.0
2016-10-21 21:05:55 413829178 114.359767 30.637117 114.357917 30.635767 17.2 49.3 48.0
2016-10-21 21:06:09 413829178 114.3609 30.637917 114.359767 30.637117 17.0 51.5 50.0
2016-10-21 21:06:29 413829178 114.3622 30.638798 114.3609 30.637917 17.1 52.1 50.0
2016-10-21 21:06:45 413829178 114.363067 30.639383 114.3622 30.638798 16.7 52.0 50.0
2016-10-21 21:06:59 413829178 114.364333 30.640233 114.363067 30.639383 16.6 53.4 52.0
2016-10-21 21:07:13 413829178 114.365183 30.640783 114.364333 30.640233 16.6 53.4 51.0
2016-10-21 21:07:31 413829178 114.366467 30.6416 114.365183 30.640783 16.5 54.2 52.0
2016-10-21 21:07:46 413829178 114.36785 30.642417 114.366467 30.6416 16.4 56.1 55.0
2016-10-21 21:08:02 413829178 114.368733 30.642917 114.36785 30.642417 16.5 57.2 56.0
2016-10-21 21:08:19 413829178 114.369633 30.643417 114.368733 30.642917 16.4 57.8 57.0
2016-10-21 21:08:44 413829178 114.370967 30.644133 114.369633 30.643417 16.3 59.1 57.0
2016-10-21 21:09:07 413829178 114.37365 30.64555 114.370967 30.644133 16.3 59.9 57.0
2016-10-21 21:09:21 413829178 114.374867 30.64615 114.37365 30.64555 16.3 60.7 58.0
2016-10-21 21:09:38 413829178 114.37595 30.646667 114.374867 30.64615 16.2 61.1 58.0
2016-10-21 21:10:02 413829178 114.377833 30.647583 114.37595 30.646667 16.1 59.5 57.0
2016-10-21 21:10:23 413829178 114.379483 30.6484 114.377833 30.647583 16.2 61.2 59.0
2016-10-21 21:10:37 413829178 114.37995 30.648617 114.379483 30.6484 16.2 62.0 59.0
2016-10-21 21:10:51 413829178 114.381783 30.649467 114.37995 30.648617 16.1 61.5 59.0
2016-10-21 21:11:14 413829178 114.383167 30.650117 114.381783 30.649467 15.5 60.9 58.0
2016-10-21 21:11:33 413829178 114.384483 30.650717 114.383167 30.650117 15.2 64.9 63.0
2016-10-21 21:11:48 413829178 114.3858 30.651233 114.384483 30.650717 14.8 66.1 63.0
2016-10-21 21:12:04 413829178 114.387117 30.651733 114.3858 30.651233 14.8 65.2 63.0
2016-10-21 21:12:26 413829178 114.388417 30.65225 114.387117 30.651733 14.8 66.5 63.0
2016-10-21 21:12:42 413829178 114.389717 30.652767 114.388417 30.65225 13.6 64.4 61.0
2016-10-21 21:12:57 413829178 114.3908 30.6532 114.389717 30.652767 12.4 65.3 63.0
2016-10-21 21:13:10 413829178 114.391517 30.653483 114.3908 30.6532 12.2 66.1 63.0
2016-10-21 21:13:31 413829178 114.3926 30.653883 114.391517 30.653483 12.1 66.8 63.0
2016-10-21 21:13:47 413829178 114.393683 30.654267 114.3926 30.653883 12.1 67.3 64.0
2016-10-21 21:14:03 413829178 114.393917 30.654367 114.393683 30.654267 12.1 67.5 65.0
2016-10-21 21:14:18 413829178 114.3955 30.654867 114.393917 30.654367 12.1 70.2 67.0
2016-10-21 21:14:40 413829178 114.39695 30.655283 114.3955 30.654867 11.7 73.0 70.0
2016-10-21 21:14:57 413829178 114.39765 30.655433 114.39695 30.655283 11.0 74.8 72.0
2016-10-21 21:15:10 413829178 114.39865 30.655617 114.39765 30.655433 10.0 78.7 80.0
2016-10-21 21:15:22 413829178 114.399233 30.65565 114.39865 30.655617 7.3 89.2 102.0
2016-10-21 21:15:43 413829178 114.39975 30.65555 114.399233 30.65565 4.5 105.5 151.0
2016-10-21 21:16:00 413829178 114.399983 30.655465 114.39975 30.65555 2.9 110.5 181.0
2016-10-21 21:16:18 413829178 114.40015 30.655317 114.399983 30.655465 3.0 144.6 199.0
2016-10-21 21:16:36 413829178 114.400183 30.655033 114.40015 30.655317 3.8 180.3 217.0
2016-10-21 21:16:58 413829178 114.400133 30.654817 114.400183 30.655033 2.0 190.9 233.0
2016-10-21 21:17:16 413829178 114.4001 30.654717 114.400133 30.654817 1.0 199.9 236.0
2016-10-21 21:17:35 413829178 114.400067 30.65465 114.4001 30.654717 0.7 196.4 235.0
2016-10-21 21:17:50 413829178 114.400067 30.654633 114.400067 30.65465 0.4 181.9 240.0
2016-10-21 21:18:10 413829178 114.400067 30.6546 114.400067 30.654633 0.3 187.4 239.0
2016-10-21 21:18:25 413829178 114.400067 30.654583 114.400067 30.6546 0.2 188.6 240.0
2016-10-21 21:18:39 413829178 114.400067 30.654583 114.400067 30.654583 0.1 188.6 243.0
2016-10-21 21:18:54 413829178 114.400067 30.654583 114.400067 30.654583 0.1 125.8 244.0
2016-10-21 21:19:12 413829178 114.400083 30.654583 114.400067 30.654583 0.0 125.8 244.0
2016-10-21 21:19:29 413829178 114.400083 30.654583 114.400083 30.654583 0.0 125.8 243.0
2016-10-21 21:19:42 413829178 114.400083 30.654583 114.400083 30.654583 0.0 125.8 244.0
2016-10-21 21:19:54 413829178 114.400083 30.654583 114.400083 30.654583 0.0 125.8 244.0
2016-10-21 21:20:10 413829178 114.400083 30.654583 114.400083 30.654583 0.0 125.8 244.0
2016-10-21 21:20:27 413829178 114.400083 30.654567 114.400083 30.654583 0.0 125.8 244.0
2016-10-21 21:20:46 413829178 114.400083 30.654567 114.400083 30.654567 0.0 125.8 244.0
2016-10-21 21:21:00 413829178 114.400083 30.654567 114.400083 30.654567 0.0 125.8 244.0
2016-10-21 21:21:23 413829178 114.400083 30.654567 114.400083 30.654567 0.0 125.8 244.0
2016-10-21 21:21:39 413829178 114.400083 30.654567 114.400083 30.654567 0.0 125.8 244.0
2016-10-21 21:21:53 413829178 114.400083 30.654567 114.400083 30.654567 0.0 125.8 244.0
2016-10-21 21:22:08 413829178 114.400083 30.654567 114.400083 30.654567 0.0 125.8 244.0
2016-10-21 21:22:30 413829178 114.400083 30.654567 114.400083 30.654567 0.0 125.8 244.0
2016-10-21 21:22:47 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:23:06 413829178 114.400067 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:23:22 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 244.0
2016-10-21 21:23:43 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 244.0
2016-10-21 21:23:58 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 244.0
2016-10-21 21:24:14 413829178 114.400083 30.654567 114.400067 30.654567 0.0 267.2 244.0
2016-10-21 21:24:27 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:24:47 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:25:07 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:25:23 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:25:37 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:25:56 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:26:11 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:26:41 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:27:02 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:27:16 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:27:29 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:27:44 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:28:05 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:28:24 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:28:43 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:28:59 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:29:21 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:29:42 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:29:58 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:30:13 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:30:37 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:30:55 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:31:09 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:31:25 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:31:42 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:32:00 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:32:15 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:32:31 413829178 114.400067 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:32:56 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 244.0
2016-10-21 21:33:13 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 244.0
2016-10-21 21:33:26 413829178 114.400083 30.654567 114.400067 30.654567 0.0 267.2 244.0
2016-10-21 21:33:39 413829178 114.400083 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:34:02 413829178 114.400067 30.654567 114.400083 30.654567 0.0 267.2 244.0
2016-10-21 21:34:20 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 244.0
2016-10-21 21:34:37 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 244.0
2016-10-21 21:34:52 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 244.0
2016-10-21 21:35:15 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 244.0
2016-10-21 21:37:53 413829178 114.40005 30.654567 114.400067 30.654567 0.0 267.2 244.0
2016-10-21 21:38:07 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 244.0
2016-10-21 21:38:26 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 244.0
2016-10-21 21:38:43 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 244.0
2016-10-21 21:38:59 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 244.0
2016-10-21 21:39:15 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 244.0
2016-10-21 21:39:35 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 244.0
2016-10-21 21:39:51 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 244.0
2016-10-21 21:40:03 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 244.0
2016-10-21 21:40:16 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 244.0
2016-10-21 21:40:41 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 244.0
2016-10-21 21:41:02 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 244.0
2016-10-21 21:41:36 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 244.0
2016-10-21 21:41:59 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 243.0
2016-10-21 21:42:16 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 
2016-10-21 21:42:31 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 
2016-10-21 21:42:45 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 
2016-10-21 21:43:08 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 
2016-10-21 21:43:25 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 
2016-10-21 21:43:55 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 
2016-10-21 21:44:15 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 
2016-10-21 21:44:33 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 
2016-10-21 21:44:50 413829178 114.40005 30.654567 114.40005 30.654567 0.0 267.2 
2016-10-21 21:45:06 413829178 114.400067 30.654567 114.40005 30.654567 0.0 267.2 
2016-10-21 21:45:42 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 
2016-10-21 21:45:54 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 
2016-10-21 21:46:06 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 
2016-10-21 21:46:27 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 
2016-10-21 21:46:44 413829178 114.400067 30.654567 114.400067 30.654567 0.0 267.2 
